method,backend_requested,backend_used,repeat,mean_ms,min_ms,max_ms,series_shape,error
AMD_BLOCK,python,python,3,0.160333,0.1086,0.2551,[128],
AUTOFORMER_BLOCK,python,python,3,0.0262,0.0234,0.0314,[128],
CEEMDAN,python,python,2,24.0472,22.4142,25.6802,[128],
DELELSTM_BLOCK,python,python,3,0.1036,0.0946,0.121,[128],
DLINEAR_BLOCK,python,python,3,0.0305,0.0237,0.0411,[128],
EMD,python,python,3,0.6851,0.6652,0.7221,[128],
FREQMOE_BLOCK,python,python,3,0.1995,0.1469,0.2816,[128],
GABOR_CLUSTER,python,python,3,2.267367,0.5546,5.2432,[128],
GABOR_CLUSTER,native,native,3,0.154533,0.1233,0.2081,[128],
INPARFORMER_BLOCK,python,python,3,0.143433,0.1358,0.1572,[128],
LEDDAM_BLOCK,python,python,3,0.0794,0.072,0.0908,[128],
MA_BASELINE,python,python,3,0.213433,0.1988,0.2289,[128],
MA_BASELINE,native,native,3,0.035367,0.0304,0.043,[128],
MEMD,python,python,2,48.8977,25.9409,71.8545,"[128, 2]",
MOVING_AVERAGE_DECOMPOSITION_BLOCK,python,python,3,0.043333,0.0242,0.0727,[128],
MSSA,python,python,3,7.8988,7.8454,7.9688,"[128, 2]",
MSSA,native,native,3,1.293867,1.2615,1.3455,"[128, 2]",
MSTL,python,python,3,9.353467,5.3586,17.3427,[128],
MVMD,python,python,2,16.75475,16.616,16.8935,"[128, 2]",
NBEATS_INTERPRETABLE,python,python,2,7100.99945,6688.9296,7513.0693,[128],
PARSIMONY_BLOCK,python,python,3,0.220067,0.17,0.312,[128],
ROBUST_STL,python,python,3,12.033467,11.928,12.1681,[128],
SSA,python,python,3,6.7428,6.2574,7.5773,[128],
SSA,native,native,3,1.172067,1.146,1.2156,[128],
STD,python,python,3,0.2665,0.2462,0.2942,[128],
STD,native,native,3,0.0437,0.0362,0.0559,[128],
STDR,python,python,3,0.3222,0.3149,0.3329,[128],
STDR,native,native,3,0.037767,0.0352,0.0407,[128],
STL,python,python,3,1.959333,1.81,2.1621,[128],
ST_MTM_BLOCK,python,python,3,0.1772,0.1574,0.2098,[128],
TIMEKAN_BLOCK,python,python,3,0.359,0.3339,0.4043,[128],
TIMES2D_BLOCK,python,python,3,0.239533,0.2338,0.2502,[128],
VMD,python,python,3,94.6436,94.0898,95.6996,[128],
VMD,native,native,3,13.126967,12.8835,13.5509,[128],
WAVEFORM_BLOCK,python,python,3,0.1998,0.1376,0.3104,[128],
WAVELET,python,python,3,0.126833,0.1221,0.1337,[128],
WAVELETMIXER_BLOCK,python,python,3,0.101567,0.0969,0.1056,[128],
XPATCH_BLOCK,python,python,3,0.100433,0.0911,0.1155,[128],
